Actual,Predicted
106848.30357,
109641.285712,
111757.785715,
113552.196428,
114919.035713,
115976.446429,
116734.160715,
117235.767857,
117546.928571,
117703.964285,
117738.0,
117738.0,
117738.0,
117738.0,
117738.0,
117738.0,
117738.0,
117738.0,
117738.0,
117738.0,
117738.0,
117738.0,
117738.0,
117738.0,
117738.0,
117738.0,
117738.0,
117738.0,
117738.0,
117738.0,
117738.0,
108873.428571,
6570.7678572,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
22.428571427999998,
96.232142857,
261.80357144,
1112.69642859,
2544.3214286,
3947.9642858,
5522.8928571,
7020.6607142,
8069.5535715,
10129.6964287,
12223.4107144,
14697.6249999,
17759.3750002,
21888.0357132,
26064.928571,
29516.178572,
33424.642858,
37729.25,
41701.499999,
46679.428572,
51717.732143,
53828.666665,
77034.5,
81256.0,
86065.857144,
91036.875,
94919.428572,
99854.625,
105016.00000100001,
110076.125,
115342.42857,
120675.178572,
125415.64285799999,
129092.392858,
132249.017859,
135511.250001,
138657.839285,
141950.55357,
118021.25,
119893.285715,
121317.5,
122296.999999,
122967.75,
123395.00000100001,
123475.0,
123475.0,
123475.0,
123475.0,
123475.0,
123475.0,
123475.0,
123475.0,
123475.0,
123475.0,
123475.0,
123475.0,
123475.0,
123475.0,
123475.0,
123475.0,
123475.0,
123475.0,
123475.0,
123475.0,
123475.0,
123475.0,
123475.0,
111820.428571,
5123.625,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
10.42857143,
148.303571428,
449.732142851,
889.55357143,
1551.89285714,
2670.7142857,
4263.714286,
6317.3928573,
8863.9107143,
11877.6964286,
15299.2857144,
18960.6785715,
22907.857143,
27360.321428,
31927.946429,
36824.285713,
42210.035714,
47849.571429,
53822.732143,
59680.892858,
65758.589286,
72070.714285,
78597.017857,
85381.25,
91830.75,
98756.124998,
105581.803572,
112424.660714,
118893.464285,
124459.433332,
192204.0,
192708.214285,
193345.035714,
193660.357141,
193764.071429,
193770.0,
193770.0,
193770.0,
193770.0,
193770.0,
193770.0,
193770.0,
193770.0,
193770.0,
193770.0,
193770.0,
193770.0,
193770.0,
193770.0,
193770.0,
193770.0,
193770.0,
6938.85,
6704.9333332999995,
10685.4107143,
13955.1071427,
17682.5654762,
21924.1964285,
26449.999998,
31456.857144,
36693.250001,
30325.000001,
43808.80357,
48818.767856,
54010.160713,
59507.500002,
65851.678572,
72592.392858,
79114.767857,
85333.625,
91316.285714,
