Test Predictions,Actual Values
0.20729911,0.0005
0.20739865,0.36266071427999996
0.35236734,1.2489821428899999
1.7069265,2.6789285712999997
4.6673183,4.6471964285
8.058506,6.566625000199999
10.105125,8.4757142857
11.922931,10.6539999999
13.966054,12.73775
16.19793,15.1671428571
18.689524,17.973875
21.410112,21.3782857146
24.776186,24.602625
28.20624,27.870571427999998
31.44647,31.407375
34.87185,35.142142858999996
38.742348,39.069375
42.63593,42.046285716
45.33438,46.451
49.75441,50.627375
53.90184,55.489357143
59.638653,61.991285712999996
68.00063,68.709910715
75.68726,75.18446428499999
82.475716,80.138107141
85.5376,84.677571428
89.64065,88.892428573
93.69074,93.824875
100.32064,98.820142857
105.21483,102.563375
106.28358,105.788428572
109.40052,109.864125
115.32519,114.408285713
119.12536,117.622267857
118.154625,119.39214285599999
118.29267,119.918767857
118.046486,120.603839286
121.57968,121.71830357200001
123.340126,123.726910714
126.72829,125.17548214199999
125.36683,125.955375
125.53234,126.55910714599999
126.731346,127.365982143
128.15576,128.047
128.03032,128.802428571
129.2772,129.191857144
128.35779,129.444625
128.9096,129.559714286
128.6192,129.571
128.48412,129.571
128.56116,129.571
128.51857,129.571
128.51416,129.571
128.51445,129.571
128.51445,129.571
128.51445,129.571
128.51445,129.571
128.51445,129.571
128.51445,129.571
128.51445,129.571
128.51439,129.571
128.51439,129.571
128.51445,129.571
128.51445,129.571
128.51445,129.571
128.51445,129.571
128.51445,129.571
128.51445,129.571
128.51439,127.962767857
